jlpt,kanji
n1,綱
n1,典
n1,賀
n1,扱
n1,顧
n1,弘
n1,看
n1,訟
n1,戒
n1,祉
n1,誉
n1,歓
n1,奏
n1,勧
n1,騒
n1,閥
n1,甲
n1,縄
n1,郷
n1,揺
n1,免
n1,既
n1,薦
n1,隣
n1,華
n1,範
n1,隠
n1,徳
n1,哲
n1,杉
n1,釈
n1,己
n1,妥
n1,威
n1,豪
n1,熊
n1,滞
n1,微
n1,隆
n1,症
n1,暫
n1,忠
n1,倉
n1,彦
n1,肝
n1,喚
n1,沿
n1,妙
n1,唱
n1,阿
n1,索
n1,誠
n1,襲
n1,懇
n1,俳
n1,柄
n1,驚
n1,麻
n1,李
n1,浩
n1,剤
n1,瀬
n1,趣
n1,陥
n1,斎
n1,貫
n1,仙
n1,慰
n1,序
n1,旬
n1,兼
n1,聖
n1,旨
n1,即
n1,柳
n1,舎
n1,偽
n1,較
n1,覇
n1,詳
n1,抵
n1,脅
n1,茂
n1,犠
n1,旗
n1,距
n1,雅
n1,飾
n1,網
n1,竜
n1,詩
n1,繁
n1,翼
n1,潟
n1,敵
n1,魅
n1,嫌
n1,斉
n1,敷
n1,擁
n1,圏
n1,酸
n1,罰
n1,滅
n1,礎
n1,腐
n1,脚
n1,潮
n1,梅
n1,尽
n1,僕
n1,桜
n1,滑
n1,孤
n1,炎
n1,賠
n1,句
n1,鋼
n1,頑
n1,鎖
n1,彩
n1,摩
n1,励
n1,縦
n1,輝
n1,蓄
n1,軸
n1,巡
n1,稼
n1,瞬
n1,砲
n1,噴
n1,誇
n1,祥
n1,牲
n1,秩
n1,帝
n1,宏
n1,唆
n1,阻
n1,泰
n1,賄
n1,撲
n1,堀
n1,菊
n1,絞
n1,縁
n1,唯
n1,膨
n1,矢
n1,耐
n1,塾
n1,漏
n1,慶
n1,猛
n1,芳
n1,懲
n1,剣
n1,彰
n1,棋
n1,丁
n1,恒
n1,揚
n1,冒
n1,之
n1,倫
n1,陳
n1,憶
n1,潜
n1,梨
n1,仁
n1,克
n1,岳
n1,概
n1,拘
n1,墓
n1,黙
n1,須
n1,偏
n1,雰
n1,遇
n1,諮
n1,狭
n1,卓
n1,亀
n1,糧
n1,簿
n1,炉
n1,牧
n1,殊
n1,殖
n1,艦
n1,輩
n1,穴
n1,奇
n1,慢
n1,鶴
n1,謀
n1,暖
n1,昌
n1,拍
n1,朗
n1,寛
n1,覆
n1,胞
n1,泣
n1,隔
n1,浄
n1,没
n1,暇
n1,肺
n1,貞
n1,靖
n1,鑑
n1,飼
n1,陰
n1,銘
n1,随
n1,烈
n1,尋
n1,稿
n1,丹
n1,啓
n1,也
n1,丘
n1,棟
n1,壌
n1,漫
n1,玄
n1,粘
n1,悟
n1,舗
n1,妊
n1,熟
n1,旭
n1,恩
n1,騰
n1,往
n1,豆
n1,遂
n1,狂
n1,岐
n1,陛
n1,緯
n1,培
n1,衰
n1,艇
n1,屈
n1,径
n1,淡
n1,抽
n1,披
n1,廷
n1,錦
n1,准
n1,暑
n1,磯
n1,奨
n1,浸
n1,剰
n1,胆
n1,繊
n1,駒
n1,虚
n1,霊
n1,帳
n1,悔
n1,諭
n1,惨
n1,虐
n1,翻
n1,墜
n1,沼
n1,据
n1,肥
n1,徐
n1,糖
n1,搭
n1,盾
n1,脈
n1,滝
n1,軌
n1,俵
n1,妨
n1,擦
n1,鯨
n1,荘
n1,諾
n1,雷
n1,漂
n1,懐
n1,勘
n1,栽
n1,拐
n1,駄
n1,添
n1,冠
n1,斜
n1,鏡
n1,聡
n1,浪
n1,亜
n1,覧
n1,詐
n1,壇
n1,勲
n1,魔
n1,酬
n1,紫
n1,曙
n1,紋
n1,卸
n1,奮
n1,欄
n1,逸
n1,涯
n1,拓
n1,眼
n1,獄
n1,尚
n1,彫
n1,穏
n1,顕
n1,巧
n1,矛
n1,垣
n1,欺
n1,釣
n1,萩
n1,粛
n1,栗
n1,愚
n1,嘉
n1,遭
n1,架
n1,鬼
n1,庶
n1,稚
n1,滋
n1,幻
n1,煮
n1,姫
n1,誓
n1,把
n1,践
n1,呈
n1,疎
n1,仰
n1,剛
n1,疾
n1,征
n1,砕
n1,謡
n1,嫁
n1,謙
n1,后
n1,嘆
n1,菌
n1,鎌
n1,巣
n1,頻
n1,琴
n1,班
n1,棚
n1,潔
n1,酷
n1,宰
n1,廊
n1,寂
n1,辰
n1,霞
n1,伏
n1,碁
n1,俗
n1,漠
n1,邪
n1,晶
n1,墨
n1,鎮
n1,洞
n1,履
n1,劣
n1,那
n1,殴
n1,娠
n1,奉
n1,憂
n1,朴
n1,亭
n1,淳
n1,怪
n1,鳩
n1,酔
n1,惜
n1,穫
n1,佳
n1,潤
n1,悼
n1,乏
n1,該
n1,赴
n1,桑
n1,桂
n1,髄
n1,虎
n1,盆
n1,晋
n1,穂
n1,壮
n1,堤
n1,飢
n1,傍
n1,疫
n1,累
n1,痴
n1,搬
n1,晃
n1,癒
n1,桐
n1,寸
n1,郭
n1,尿
n1,凶
n1,吐
n1,宴
n1,鷹
n1,賓
n1,虜
n1,陶
n1,鐘
n1,憾
n1,猪
n1,紘
n1,磁
n1,弥
n1,昆
n1,粗
n1,訂
n1,芽
n1,庄
n1,傘
n1,敦
n1,騎
n1,寧
n1,循
n1,忍
n1,怠
n1,如
n1,寮
n1,祐
n1,鵬
n1,鉛
n1,珠
n1,凝
n1,苗
n1,獣
n1,哀
n1,跳
n1,匠
n1,垂
n1,蛇
n1,澄
n1,縫
n1,僧
n1,眺
n1,亘
n1,呉
n1,凡
n1,憩
n1,媛
n1,溝
n1,恭
n1,刈
n1,睡
n1,錯
n1,伯
n1,笹
n1,穀
n1,陵
n1,霧
n1,魂
n1,弊
n1,妃
n1,舶
n1,餓
n1,窮
n1,掌
n1,麗
n1,綾
n1,臭
n1,悦
n1,刃
n1,縛
n1,暦
n1,宜
n1,盲
n1,粋
n1,辱
n1,毅
n1,轄
n1,猿
n1,弦
n1,稔
n1,窒
n1,炊
n1,洪
n1,摂
n1,飽
n1,冗
n1,桃
n1,狩
n1,朱
n1,渦
n1,紳
n1,枢
n1,碑
n1,鍛
n1,刀
n1,鼓
n1,裸
n1,猶
n1,塊
n1,旋
n1,弓
n1,幣
n1,膜
n1,扇
n1,腸
n1,槽
n1,慈
n1,楊
n1,伐
n1,駿
n1,漬
n1,糾
n1,亮
n1,墳
n1,坪
n1,紺
n1,娯
n1,椿
n1,舌
n1,羅
n1,峡
n1,俸
n1,厘
n1,峰
n1,圭
n1,醸
n1,蓮
n1,弔
n1,乙
n1,汁
n1,尼
n1,遍
n1,衡
n1,薫
n1,猟
n1,羊
n1,款
n1,閲
n1,偵
n1,喝
n1,敢
n1,胎
n1,酵
n1,憤
n1,豚
n1,遮
n1,扉
n1,硫
n1,赦
n1,窃
n1,泡
n1,瑞
n1,又
n1,慨
n1,紡
n1,恨
n1,肪
n1,扶
n1,戯
n1,伍
n1,忌
n1,濁
n1,奔
n1,斗
n1,蘭
n1,迅
n1,肖
n1,鉢
n1,朽
n1,殻
n1,享
n1,秦
n1,茅
n1,藩
n1,沙
n1,輔
n1,媒
n1,鶏
n1,禅
n1,嘱
n1,胴
n1,迭
n1,挿
n1,嵐
n1,椎
n1,絹
n1,陪
n1,剖
n1,譜
n1,郁
n1,悠
n1,淑
n1,帆
n1,暁
n1,傑
n1,楠
n1,笛
n1,玲
n1,奴
n1,錠
n1,拳
n1,翔
n1,遷
n1,拙
n1,侍
n1,尺
n1,峠
n1,篤
n1,肇
n1,渇
n1,叔
n1,雌
n1,亨
n1,堪
n1,叙
n1,酢
n1,吟
n1,逓
n1,嶺
n1,甚
n1,喬
n1,崇
n1,漆
n1,岬
n1,癖
n1,愉
n1,寅
n1,礁
n1,乃
n1,洲
n1,屯
n1,樺
n1,槙
n1,姻
n1,巌
n1,擬
n1,塀
n1,唇
n1,睦
n1,閑
n1,胡
n1,幽
n1,峻
n1,曹
n1,詠
n1,卑
n1,侮
n1,鋳
n1,抹
n1,尉
n1,槻
n1,隷
n1,禍
n1,蝶
n1,酪
n1,茎
n1,帥
n1,逝
n1,汽
n1,琢
n1,匿
n1,襟
n1,蛍
n1,蕉
n1,寡
n1,琉
n1,痢
n1,庸
n1,朋
n1,坑
n1,藍
n1,賊
n1,搾
n1,畔
n1,遼
n1,唄
n1,孔
n1,橘
n1,漱
n1,呂
n1,拷
n1,嬢
n1,苑
n1,巽
n1,杜
n1,渓
n1,翁
n1,廉
n1,謹
n1,瞳
n1,湧
n1,欣
n1,窯
n1,褒
n1,醜
n1,升
n1,殉
n1,煩
n1,巴
n1,禎
n1,劾
n1,堕
n1,租
n1,稜
n1,桟
n1,倭
n1,婿
n1,慕
n1,斐
n1,罷
n1,矯
n1,某
n1,囚
n1,魁
n1,虹
n1,鴻
n1,泌
n1,於
n1,赳
n1,漸
n1,蚊
n1,葵
n1,厄
n1,藻
n1,禄
n1,孟
n1,嫡
n1,尭
n1,嚇
n1,巳
n1,凸
n1,暢
n1,韻
n1,霜
n1,硝
n1,勅
n1,芹
n1,杏
n1,棺
n1,儒
n1,鳳
n1,馨
n1,慧
n1,愁
n1,楼
n1,彬
n1,匡
n1,眉
n1,欽
n1,薪
n1,褐
n1,賜
n1,嵯
n1,綜
n1,繕
n1,栓
n1,翠
n1,鮎
n1,榛
n1,凹
n1,艶
n1,惣
n1,蔦
n1,錬
n1,隼
n1,渚
n1,衷
n1,逐
n1,斥
n1,稀
n1,芙
n1,詔
n1,皐
n1,雛
n1,惟
n1,佑
n1,耀
n1,黛
n1,渥
n1,憧
n1,宵
n1,妄
n1,惇
n1,脩
n1,甫
n1,酌
n1,蚕
n1,嬉
n1,蒼
n1,暉
n1,頒
n1,只
n1,肢
n1,檀
n1,凱
n1,彗
n1,謄
n1,梓
n1,丑
n1,嗣
n1,叶
n1,汐
n1,絢
n1,朔
n1,伽
n1,畝
n1,抄
n1,爽
n1,黎
n1,惰
n1,蛮
n1,冴
n1,旺
n1,萌
n1,偲
n1,壱
n1,瑠
n1,允
n1,侯
n1,蒔
n1,鯉
n1,弧
n1,遥
n1,舜
n1,瑛
n1,附
n1,彪
n1,卯
n1,但
n1,綺
n1,芋
n1,茜
n1,凌
n1,皓
n1,洸
n1,毬
n1,婆
n1,緋
n1,鯛
n1,怜
n1,邑
n1,倣
n1,碧
n1,啄
n1,穣
n1,酉
n1,悌
n1,倹
n1,柚
n1,繭
n1,亦
n1,詢
n1,采
n1,紗
n1,賦
n1,眸
n1,玖
n1,弐
n1,錘
n1,諄
n1,倖
n1,痘
n1,笙
n1,侃
n1,裟
n1,洵
n1,爾
n1,耗
n1,昴
n1,銑
n1,莞
n1,伶
n1,碩
n1,宥
n1,滉
n1,晏
n1,伎
n1,朕
n1,迪
n1,綸
n1,且
n1,竣
n1,晨
n1,吏
n1,燦
n1,麿
n1,頌
n1,箇
n1,楓
n1,琳
n1,梧
n1,哉
n1,澪
n1,匁
n1,晟
n1,衿
n1,凪
n1,梢
n1,丙
n1,颯
n1,茄
n1,勺
n1,恕
n1,蕗
n1,瑚
n1,遵
n1,瞭
n1,燎
n1,虞
n1,柊
n1,侑
n1,謁
n1,斤
n1,嵩
n1,捺
n1,蓉
n1,茉
n1,袈
n1,燿
n1,誼
n1,冶
n1,栞
n1,墾
n1,勁
n1,菖
n1,旦
n1,椋
n1,叡
n1,紬
n1,胤
n1,凜
n1,亥
n1,爵
n1,脹
n1,麟
n1,莉
n1,汰
n1,瑶
n1,瑳
n1,耶
n1,椰
n1,絃
n1,丞
n1,璃
n1,奎
n1,塑
n1,昂
n1,柾
n1,熙
n1,菫
n1,諒
n1,鞠
n1,崚
n1,濫
n1,捷
